user_id,app_id,created_at,last_login_at,offer_id,Offer_status,offer_started,offer_ended,Offer_expires,reward_id,offer_completed,label_in_english,total_payout_in_paise,total_revenue_in_paise,acc_created_Year,acc_created_Month,acc_created_Day,last_login_Year,last_login_Month,last_login_Day,offer_completed_Year,offer_completed_Month,offer_completed_Day,offer_started_date,offer_started_Year,offer_started_Month,offer_started_Day,offer_started_time,offer_started_Hour,offer_started_minute,offer_started_second,offer_ended_date,offer_ended_Year,offer_ended_Month,offer_ended_Day,offer_ended_time,offer_ended_Hour,offer_ended_minute,offer_ended_second,Offer_expires_date,Offer_expires_Year,Offer_expires_Month,Offer_expires_Day,Offer_expires_time,Offer_expires_Hour,Offer_expires_minute,Offer_expires_second,gross_profit,lifetime,reward_completion_days,reward_completion_time
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,26-11-22,29-11-22,3529,ONGOING,2022-11-29 01:14:50.965031+00:00,,2022-11-30 18:29:59+00:00,935,26-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,26,29-11-22,2022,11,29,14:51.0,1,14,50,,,,,,,,,30-11-22,2022,11,30,18:29:59,18,29,59,-200,3,,
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,26-11-22,29-11-22,3479,ONGOING,2022-11-29 07:46:21.644530+00:00,,2022-12-01 07:46:21.677847+00:00,935,26-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,26,29-11-22,2022,11,29,46:21.6,7,46,21,,,,,,,,,01-12-22,2022,12,1,46:21.7,7,46,21,-200,3,,
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,26-11-22,29-11-22,3549,ONGOING,2022-11-29 08:01:03.045611+00:00,,2022-12-01 08:01:03.050394+00:00,935,26-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,26,29-11-22,2022,11,29,01:03.0,8,1,3,,,,,,,,,01-12-22,2022,12,1,01:03.0,8,1,3,-200,3,,
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,26-11-22,29-11-22,3443,COMPLETED,2022-11-28 08:02:55.130103+00:00,2022-11-28 08:06:39.074543+00:00,,935,26-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,26,28-11-22,2022,11,28,02:55.1,8,2,55,28-11-22,2022,11,28,06:39.1,8,6,39,,,,,,,,,-200,3,0,0.062206789
44f9c9f1-1ce1-4b04-8042-ddb1c548c589,sikka,26-11-22,29-11-22,3431,ONGOING,2022-11-28 08:01:56.418620+00:00,,2022-11-30 08:01:56.422570+00:00,935,26-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,26,28-11-22,2022,11,28,01:56.4,8,1,56,,,,,,,,,30-11-22,2022,11,30,01:56.4,8,1,56,-200,3,,
2c93173e-b325-47d9-bac5-6e21641f97bc,sikka,26-11-22,29-11-22,3469,ONGOING,2022-11-28 02:47:52.055804+00:00,,2022-11-30 02:47:52.059558+00:00,935,28-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,28,28-11-22,2022,11,28,47:52.1,2,47,52,,,,,,,,,30-11-22,2022,11,30,47:52.1,2,47,52,-200,3,,
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,26-11-22,29-11-22,3237,ONGOING,2022-11-28 01:32:34.716340+00:00,,2022-11-30 01:32:34.720380+00:00,935,29-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,29,28-11-22,2022,11,28,32:34.7,1,32,34,,,,,,,,,30-11-22,2022,11,30,32:34.7,1,32,34,-200,3,,
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,26-11-22,29-11-22,3529,ONGOING,2022-11-28 01:29:04.076514+00:00,,2022-11-30 01:29:04.081195+00:00,935,29-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,29,28-11-22,2022,11,28,29:04.1,1,29,4,,,,,,,,,30-11-22,2022,11,30,29:04.1,1,29,4,-200,3,,
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,26-11-22,29-11-22,3463,ONGOING,2022-11-28 01:25:23.515775+00:00,,2022-11-30 01:25:23.519609+00:00,935,29-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,29,28-11-22,2022,11,28,25:23.5,1,25,23,,,,,,,,,30-11-22,2022,11,30,25:23.5,1,25,23,-200,3,,
4cb29e43-9f23-42fe-bab8-2422f42e7a91,sikka,26-11-22,29-11-22,2415,COMPLETED,2022-11-28 01:22:43.818904+00:00,2022-11-28 01:26:58.333522+00:00,,935,29-11-22,Complete Registration,200,0,2022,11,26,2022,11,29,2022,11,29,28-11-22,2022,11,28,22:43.8,1,22,43,28-11-22,2022,11,28,26:58.3,1,26,58,,,,,,,,,-200,3,0,0.070698505
